gene,mean_effect,n_lines,lineage
AKT2,-0.0733,1208,all
AKT3,0.0914,1208,all
AKTIP,-0.2256,1208,all
ALAD,-0.0876,1208,all
ALAS1,-0.119,1208,all
ALAS2,0.0943,1208,all
ALB,0.0723,1208,all
ALCAM,-0.041,1208,all
ALDH16A1,0.0258,1208,all
ALDH18A1,-0.1567,1208,all
ALDH1A1,0.055,1208,all
ALDH1A2,-0.0201,1208,all
ALDH1A3,0.1553,1208,all
ALDH1B1,-0.0327,1208,all
ALDH1L1,-0.0141,1208,all
ALDH1L2,0.0066,1208,all
ALDH2,-0.0411,1208,all
ALDH3A1,-0.013,1208,all
ALDH3A2,0.0302,1208,all
ALDH3B1,-0.017,74,all
ALDH3B2,-0.0179,1208,all
ALDH4A1,-0.0382,1208,all
ALDH5A1,-0.0488,1208,all
ALDH6A1,-0.0718,1208,all
ALDH7A1,-0.0932,1208,all
ALDH8A1,-0.0201,1208,all
ALDH9A1,-0.0006,1208,all
ALDOA,-1.464,1208,all
ALDOB,-0.0072,1208,all
ALDOC,-0.2475,1208,all
ALG1,-0.9786,1208,all
ALG10,-0.1996,1208,all
ALG10B,-0.2537,1208,all
ALG11,-1.4992,1208,all
ALG12,-0.1954,1208,all
ALG13,-0.9464,1208,all
ALG14,-0.9112,1208,all
ALG2,-1.5918,1208,all
ALG3,-0.0469,1208,all
ALG5,-0.2535,1208,all
ALG6,-0.2423,1208,all
ALG8,-0.3344,1208,all
ALG9,-0.1223,1208,all
ALK,-0.0878,1208,all
ALKAL1,-0.0434,1208,all
ALKAL2,0.1289,1208,all
ALKBH1,-0.0837,1208,all
ALKBH2,0.0438,1208,all
ALKBH3,-0.0369,1208,all
ALKBH4,-0.1091,1208,all
ALKBH5,-0.1456,1208,all
ALKBH6,-0.027,1208,all
ALKBH7,-0.0654,1208,all
ALKBH8,-0.0076,1208,all
ALLC,-0.051,1208,all
ALMS1,-0.063,1208,all
ALOX12,0.098,1208,all
ALOX12B,0.0579,1208,all
ALOX15,-0.0432,1208,all
ALOX15B,0.0802,1208,all
ALOX5,-0.1037,1208,all
ALOX5AP,0.1366,1208,all
ALOXE3,-0.1016,1208,all
ALPG,-0.0216,1165,all
ALPI,0.0486,1208,all
ALPK1,0.016,1208,all
ALPK2,0.111,1208,all
ALPK3,-0.127,383,all
ALPL,0.017,1208,all
ALPP,0.144,1208,all
ALS2,0.0528,1208,all
ALS2CL,-0.0753,1208,all
ALX1,0.017,1208,all
ALX3,-0.2583,1208,all
ALX4,-0.0292,1208,all
ALYREF,-1.0874,1208,all
AMACR,0.0116,1208,all
AMBN,-0.0451,1208,all
AMBP,0.0241,1208,all
AMBRA1,-0.1099,1208,all
AMD1,-0.502,1208,all
AMDHD1,-0.038,1208,all
AMDHD2,-0.0483,1208,all
AMELX,0.0883,1208,all
AMELY,0.2789,383,all
AMER1,0.0609,1208,all
AMER2,-0.1371,1208,all
AMER3,-0.0678,1208,all
AMFR,-0.168,1208,all
AMH,0.0196,1208,all
AMHR2,-0.041,1208,all
AMIGO1,-0.091,1208,all
AMIGO2,0.0812,1208,all
AMIGO3,0.0091,1208,all
AMMECR1,0.0761,1208,all
AMMECR1L,-0.069,1208,all
AMN,-0.0118,1208,all
AMN1,0.1325,1208,all
AMOT,0.0764,1208,all
AMOTL1,0.0219,1208,all
AMOTL2,0.1228,1208,all
AMPD1,-0.0815,1208,all
AMPD2,-0.0355,1208,all
AMPD3,-0.0244,1208,all
AMPH,-0.0023,1208,all
AMT,0.071,1208,all
AMTN,0.058,1208,all
AMY2A,-0.3487,1165,all
AMZ1,0.0222,1208,all
AMZ2,0.0211,1208,all
ANAPC1,-1.4664,1208,all
ANAPC10,-1.1852,1208,all
ANAPC11,-1.7475,1208,all
ANAPC13,-0.5988,1208,all
ANAPC15,-0.5516,1208,all
ANAPC16,-0.0175,1208,all
ANAPC2,-1.451,1208,all
ANAPC4,-1.0568,1208,all
ANAPC5,-1.138,1208,all
ANAPC7,-0.1787,1208,all
ANG,-0.1273,1208,all
ANGEL1,-0.0107,1208,all
ANGEL2,-0.0958,1208,all
ANGPT1,-0.0258,1208,all
ANGPT2,0.0765,1208,all
ANGPT4,0.23,1208,all
ANGPTL1,0.0413,1208,all
ANGPTL2,0.0497,1208,all
ANGPTL3,0.0211,1208,all
ANGPTL4,-0.02,1208,all
ANGPTL5,0.011,1208,all
ANGPTL6,-0.1332,1208,all
ANGPTL7,-0.0072,1208,all
ANGPTL8,-0.0035,1208,all
ANHX,-0.0539,1208,all
ANK1,0.0513,1208,all
ANK2,0.0581,1208,all
ANK3,-0.0545,1208,all
ANKAR,0.0623,1208,all
ANKDD1A,-0.0421,1208,all
ANKDD1B,0.0906,1208,all
ANKEF1,0.0932,1208,all
ANKFN1,0.0096,1208,all
ANKFY1,-0.0982,1208,all
ANKH,-0.03,1208,all
ANKHD1,-0.1194,1208,all
ANKIB1,-0.0236,1208,all
ANKK1,0.0332,1208,all
ANKLE1,-0.1059,1208,all
ANKLE2,-2.6213,1208,all
ANKMY1,0.0446,1208,all
ANKMY2,-0.1187,1208,all
ANKRA2,-0.1158,1208,all
ANKRD1,-0.0067,1208,all
ANKRD10,0.0257,1208,all
ANKRD11,-0.3176,1208,all
ANKRD12,0.05,1208,all
ANKRD13A,-0.0411,1208,all
ANKRD13B,-0.0213,1208,all
ANKRD13C,0.0019,1208,all
ANKRD13D,-0.004,1208,all
ANKRD16,-0.0043,1208,all
ANKRD17,-0.2218,1208,all
ANKRD18A,0.0081,1208,all
ANKRD18B,-0.223,74,all
ANKRD2,0.0437,1208,all
ANKRD22,-0.1246,1208,all
ANKRD23,-0.1504,1208,all
ANKRD24,-0.1323,1208,all
ANKRD26,0.1971,1208,all
ANKRD27,-0.0148,1208,all
ANKRD28,0.0322,1208,all
ANKRD29,0.1121,1208,all
ANKRD30A,0.0359,1208,all
ANKRD30B,0.0198,1208,all
ANKRD30BL,0.2142,70,all
ANKRD31,-0.2142,1208,all
ANKRD33,-0.0366,1208,all
ANKRD33B,-0.0223,1208,all
ANKRD34A,-0.1019,1208,all
ANKRD34B,-0.1194,1208,all
ANKRD34C,-0.0133,1208,all
ANKRD35,-0.167,1208,all
ANKRD36,-0.0369,383,all
ANKRD36B,0.2033,74,all
ANKRD36C,-0.0572,73,all
ANKRD37,0.0621,1208,all
ANKRD39,-0.1466,1208,all
ANKRD40,-0.1556,1208,all
ANKRD40CL,0.0337,70,all
ANKRD42,0.0841,1208,all
ANKRD44,0.0273,1208,all
ANKRD45,0.0824,1208,all
ANKRD46,0.0846,1208,all
ANKRD49,-0.36,1208,all
ANKRD50,0.0539,1208,all
ANKRD52,-0.2527,1208,all
ANKRD53,-0.0888,1208,all
ANKRD54,-0.1601,1208,all
ANKRD55,0.0075,1208,all
ANKRD6,0.0038,1208,all
ANKRD60,-0.0008,74,all
ANKRD61,0.1078,1208,all
ANKRD62,0.061,1208,all
ANKRD63,-0.0678,77,all
ANKRD65,-0.204,1208,all
ANKRD66,0.073,1208,all
ANKRD7,0.0138,1208,all
ANKRD9,-0.0196,1208,all
ANKS1A,0.0658,1208,all
ANKS1B,0.115,1208,all
ANKS3,-0.047,1208,all
ANKS4B,0.0768,1208,all
ANKS6,-0.2898,1208,all
ANKUB1,0.124,77,all
ANKZF1,-0.0673,1208,all
ANLN,-0.5189,1208,all
ANO1,-0.0799,1208,all
ANO10,0.0757,1208,all
ANO2,-0.0782,1090,all
ANO3,0.0168,1208,all
ANO4,-0.0661,1208,all
ANO5,-0.0495,1208,all
ANO6,0.001,1208,all
ANO7,0.0737,1208,all
ANO8,-0.0437,1208,all
ANO9,0.0771,1208,all
ANOS1,0.1498,1208,all
ANP32A,-0.1127,1208,all
ANP32B,-0.0362,1208,all
ANP32D,-0.0555,1208,all
ANP32E,-0.2756,1208,all
ANPEP,-0.0079,1208,all
ANTKMT,-0.0707,1208,all
ANTXR1,0.0363,1208,all
ANTXR2,0.0856,1208,all
ANTXRL,-0.2185,1208,all
ANXA1,0.0873,1208,all
ANXA10,0.0574,1208,all
ANXA11,-0.0437,1208,all
ANXA13,-0.0524,1208,all
ANXA2,0.0047,1208,all
ANXA2R,-0.0802,1208,all
ANXA3,0.0606,1208,all
ANXA4,0.0611,1208,all
ANXA5,0.1068,1208,all
ANXA6,0.0465,1208,all
ANXA7,-0.0832,1208,all
ANXA8,-0.0204,1047,all
ANXA8L1,-0.2499,1046,all
ANXA9,-0.1915,1208,all
AOAH,0.1598,1208,all
AOC1,-0.059,1208,all
AOC2,-0.1726,1208,all
AOC3,-0.169,1208,all
AOPEP,0.0659,1208,all
AOX1,0.0446,1208,all
AP1AR,0.0913,1208,all
AP1B1,-0.1331,1208,all
AP1G1,-0.1506,1208,all
AP1G2,-0.2427,1208,all
AP1M1,-0.1438,1208,all
AP1M2,-0.0517,1208,all
AP1S1,-0.0769,1208,all
AP1S2,-0.0258,1208,all
AP1S3,-0.084,1208,all
AP2A1,-0.0476,1208,all
AP2A2,0.1027,1208,all
AP2B1,-0.1242,1208,all
AP2M1,-0.8075,1208,all
AP2S1,-0.798,1208,all
AP3B1,-0.2185,1208,all
AP3B2,-0.0136,1208,all
AP3D1,-0.008,1208,all
AP3M1,-0.1444,1208,all
AP3M2,-0.162,1208,all
AP3S1,-0.2301,1208,all
AP3S2,-0.0636,1208,all
AP4B1,-0.0101,1208,all
AP4E1,-0.0254,1208,all
AP4M1,0.022,1208,all
AP4S1,-0.1104,1208,all
AP5B1,-0.0542,1208,all
AP5M1,0.0347,1208,all
AP5S1,0.0048,1208,all
AP5Z1,-0.0329,1208,all
APAF1,0.0202,1208,all
APBA1,-0.0366,1208,all
APBA2,-0.1262,1208,all
APBA3,0.1564,1208,all
APBB1,-0.0211,1208,all
APBB1IP,0.0515,1208,all
APBB2,0.1221,1208,all
APBB3,-0.033,1208,all
APC,-0.3607,1208,all
APC2,-0.1466,1208,all
APCDD1,0.1542,1208,all
APCDD1L,0.0935,1208,all
APCS,-0.1171,1208,all
APEH,-0.1615,1208,all
APELA,0.1759,74,all
APEX1,-0.0764,1208,all
APEX2,-0.2505,1208,all
APH1A,-0.1802,1208,all
APH1B,-0.0288,1208,all
API5,-0.2474,1208,all
APIP,-0.0805,1208,all
APLF,0.0436,1208,all
APLN,0.0856,1208,all
APLNR,-0.0095,1208,all
APLP1,-0.1681,1208,all
APLP2,0.1096,1208,all
APMAP,0.0323,1208,all
APOA1,0.0168,1208,all
APOA2,-0.0026,1208,all
APOA4,0.0731,1208,all
APOA5,0.0293,1208,all
APOB,0.0355,1208,all
